12995,22
12989,20
12991,21
19035,14
17064,19
15314,18
12990,17
19943,16
19224,15
18405,13
16502,12
12843,11
12834,10
52296,6969
11050,9
11096,7
78807,13606
66011,15378
13418,16831
37393,18113
90473,19534
90469,19533
95213,20560
02809,27733
16587,27659
16588,27636
22696,27618
96105,27596
96601,27595
97142,27593
96116,27592
96234,27591
96522,27589
95746,27587
97260,27586
97140,27584
96232,27583
97258,27581
95428,27579
00655,27557
07123,27552
06357,27554
07124,27553
06359,27548
06360,27547
22936,27508
06356,27467
06355,27466
97256,27374
95140,27372
97254,27370
97136,27369
95138,27368
95426,27367
97252,27366
96644,27365
97132,27333
95228,27332
95516,27331
95226,27330
95342,27327
96520,27325
95340,27320
95744,27324
95136,27323
97248,27322
97124,27321
97118,27318
97436,27317
97116,27316
95134,27315
97242,27312
95338,27314
95010,27311
96518,27310
95224,27309
97240,27306
06755,27299
06756,27298
06757,27297
06758,27295
06759,27294
95742,27275
95616,27272
95336,27274
97636,27273
95222,27271
95740,27270
95334,27269
95332,27268
97634,27267
97632,27264
07232,27258
42802,27245
43804,27244
43610,27243
42702,27240
42750,27241
22933,27238
97630,27234
97628,27233
95734,27231
97626,27230
97398,27229
95730,27226
97396,27227
97624,27225
97394,27223
97620,27218
97392,27222
97390,27221
97622,27219
97388,27217
97386,27216
97384,27215
02210,27212
97618,27188
97382,27187
97380,27186
97378,27185
96322,27184
06717,27176
06718,27175
97372,27153
97376,27156
97374,27154
97046,27120
96314,27122
97370,27121
97368,27118
97366,27116
97364,27085
97358,27082
97362,27084
97616,27081
97360,27083
97356,27079
97354,27076
97350,27073
97352,27075
97614,27072
97348,27071
97346,27070
37755,27058
07231,26952
07624,26949
07623,26948
07236,26951
97340,26907
97344,26909
97342,26908
97338,26905
55055,26898
55056,26896
97332,26731
97336,26733
97334,26732
97330,26730
97328,26729
97326,26725
97324,26679
97318,26670
97316,26669
97322,26672
97320,26671
97314,26668
97312,26667
97310,26666
97308,26655
06753,26658
06754,26657
95902,26654
97306,26653
97304,26652
38434,26579
38430,26578
38408,26577
38423,26571
19422,26374
00653,26370
22940,26352
22939,26351
19421,26330
77302,26322
77301,26324
77303,26321
77304,26320
77305,26319
77306,26318
77307,26317
16578,26316
77308,26315
16577,26314
77309,26310
77310,26304
77311,26303
77312,26302
76522,25996
17321,25987
17322,25986
56921,25985
56922,25984
05105,25933
05106,25932
15308-Slip2,25707
06354,25453
76521,25106
79450,25109
79449,25108
05726,24509
06716,24468
06715,24465
00609,24157
00611,24155
06351,24146
06352,24145
04429,23982
04430,23979
19204,23834
19203,23833
05264,23828
05263,23832
55763,23816
19453,23813
00112,23804
08506,23788
08505,23787
17622,23755
17621,23754
75705-Slip,23737
75706-Slip,23736
14714,23662
14713,23660
